"","address","lon","lat"
"343","Block B, Sayednagar, East Vatara, Vatara, Badda, Dhaka",90.4349658,23.7993144
"344","Sutrapur, Dhaka",90.4195876,23.7121399
"345","Shadhinata Sharani, Uttar Badda, Badda, Dhaka",90.4265755,23.7842882
"346","Jahuri Moholla, Mohammadpur, Dhaka",90.3626058,23.770646
"347","Mansurabad Housing Society, Adabor, Dhaka",90.3537052,23.7739826
"348","Block C, Khilgaon, Dhaka",90.4409511,23.7479681
"349","Taltola, Dakshin Khan, Dhaka",90.4231228,23.8534342
"350","Uttar Khan, Dhaka",90.4478783,23.8726978
"351","Borobag, Section 2, Mirpur, Dhaka",90.3615699,23.8006833
"352","North Shahjahanpur, Shahjahanpur, Dhaka",90.4248726,23.7441511
"353","North Azampur, Dakshin Khan, Dhaka",90.4072168,23.8661179
"354","Sector 2, Block D, Aftab Nagar, Dhaka",90.4466991,23.7641281
"355","North Adabor, Adabor, Dhaka",90.3586364,23.7734438
"356","Adarsha Para, Uttar Khan, Dhaka",90.4478783,23.8726978
"357","Block A, Section 12, Mirpur, Dhaka",90.3651262,23.8264394
"358","Block B, Chad Uddan Housing, Mohammadpur, Dhaka",90.3518903,23.7561906
"359","Abdullahbag, Uttar Badda, Badda, Dhaka",90.4231228,23.7820433
"360","Block B, Dolipara, Uttara, Dhaka",90.3683624,23.8632408
"361","South Azampur, Dakshin Khan, Dhaka",90.4095728,23.860163
"362","Block D, Dolipara, Uttara, Dhaka",90.371893,23.8662068
"363","Faidabad Garden City, Faydabad, Dakshin Khan, Dhaka",90.4119945,23.8748273
"364","Block C, Niketan, Dhaka",90.3705183,23.7551752
"365","Block B, Chandrima Model Town, Mohammadpur, Dhaka",90.3587745,23.7661386
"366","Kuratoli, Kuril, Dhaka",90.4228435,23.8210737
"367","Chalabon, Dakshin Khan, Dhaka",90.4184093,23.8653445
"368","Barontek, Cantonment, Dhaka",90.3869017,23.8301048
"369","Ullan, Rampura, Dhaka",90.4189984,23.7664365
"370","Road No 17, Sector 7, Uttara, Dhaka",90.3950826,23.8699316
"371","Nurer Chala, Badda, Dhaka",90.4325517,23.7968912
"372","Road No 12, Sector 4, Uttara, Dhaka",90.4041254,23.8640161
"373","South Chalabon, Dakshin Khan, Dhaka",90.4184093,23.8653445
"374","West Kalachandpur, Kalachandpur, Dhaka",90.414634,23.8110345
"375","Comfort Housing, Adabor, Dhaka",90.3548312,23.7732898
"376","Moddhopara, Ashkona, Dakshin Khan, Dhaka",90.4184093,23.853447
"377","Sector 1, Block G, Aftab Nagar, Dhaka",90.4466991,23.7641281
"378","Gojmohal, Hazaribag, Dhaka",90.3657179,23.7355372
"379","South Bishil, Section 1, Mirpur, Dhaka",90.3520212,23.7966002
"380","Block M, South Banasree Project, Banasree, Dhaka",90.4409834,23.7548337
"381","Abur Tek, Khilkhet, Dhaka",90.4226472,23.8321541
"382","Bamoil, Sarulia, Demra, Dhaka",90.4846665,23.7160752
"383","Niketan, Dhaka",90.411929,23.7738926
"384","Meradia, Khilgaon, Dhaka",90.4321434,23.7573453
"385","Ring Road, Shyamoli, Dhaka",90.3598492,23.7716209
"386","Bochila Garden City, Bochila, Mohammadpur, Dhaka",90.3589489,23.754687
"387","Solmaid, Badda, Dhaka",90.4325517,23.8058154
"388","South Jatra Bari, Jatra Bari, Dhaka",90.4366775,23.7053986
